country,voltage_group,n_branches_complete,n_branches_simple,edges_removed_pct,C_complete,C_simple,C_change_pct,gamma_complete,gamma_simple,gamma_change_pct,R2_complete,R2_simple
Hungary,All,640,515,19.53125,1.6079946791923543,1.7341987456950632,7.848537568923875,2.478294434830761,1.9888813219930461,-19.74798094848388,0.9546412213363442,0.9786037721750098
Hungary,120 kV,579,467,19.34369602763385,1.67325376632284,1.7997157986471448,7.5578513474509705,2.3133006181901172,1.8638075389776596,-19.43081135577323,0.9446844547908534,0.9713486551344679
Hungary,220 kV,25,17,32.0,1.478754682955731,1.8656085026722555,26.160784082406565,2.444210236362365,1.5283573450942638,-37.47029930744148,0.9850374302505326,0.9714915830641345
Hungary,400 kV,36,33,8.333333333333334,1.6262735194078057,1.7039744527809886,4.777851477374913,2.434334209254754,2.1548619350509837,-11.480439832019945,0.9422211086681237,0.9454862551305386
Ireland,All,467,422,9.635974304068522,1.5682397160002797,1.6581397854292481,5.7325464029347675,2.4354740923423672,2.1762584979175457,-10.643332041176247,0.9924373122898579,0.9880490361346539
Ireland,110 kV,385,351,8.831168831168831,1.6708584596256635,1.7706551362197618,5.9727786048649865,2.1378300124125036,1.9173232800594928,-10.314511961789366,0.9874412153575401,0.9805287274476899
Ireland,220 kV,65,59,9.23076923076923,1.7171825009306858,1.7869103832583324,4.06059823518206,2.2703050328254397,2.09092024596644,-7.9013517683899765,0.9343082189054961,0.9022065199547298
Ireland,275 kV,13,13,0.0,1.850394763410746,1.850394763410746,0.0,1.8153242312096305,1.8153242312096305,0.0,0.7583801251942588,0.7583801251942588
Ireland,400 kV,4,4,0.0,1.6666666666660677,1.6666666666660677,0.0,1.9576151889744804,1.9576151889744804,0.0,1.0,1.0
Latvia,All,220,194,11.818181818181818,1.697346951431753,1.812468816131015,6.782459213901667,2.2443466321503154,1.9568031721979111,-12.811900614340843,0.9400093943667549,0.9296612485283786
Latvia,110 kV,199,178,10.552763819095478,1.764054785704644,1.874929377762731,6.2852125090774065,2.1010080256699983,1.852127205155429,-11.845781523619019,0.9255282069539947,0.9074728286479854
Latvia,330 kV,21,20,4.761904761904762,1.8370945139543955,1.873746643641927,1.9951139916387215,1.9766151475634008,1.8609890833779381,-5.849700399594553,0.861079284821208,0.8772998201002142
Lithuania,All,329,326,0.9118541033434651,1.863145850270529,1.8725696175969626,0.5057986912331824,1.8614176820468618,1.8469006346897991,-0.7798919875467872,0.939967496727186,0.9361096300167072
Lithuania,110 kV,306,304,0.6535947712418301,1.91711559742009,1.9209468255459583,0.19984335483077362,1.7753803760440567,1.7691719513215383,-0.3496954684354591,0.9241497951219978,0.9160606016331007
Lithuania,330 kV,23,22,4.3478260869565215,1.9171087506720659,1.9609170063414076,2.285121052938924,1.7860117890762859,1.6902676145125315,-5.360780659419537,0.8655839339107816,0.8821402703743845
Netherlands,All,669,433,35.276532137518686,1.4401444426714671,1.6872708888947605,17.15983750663746,3.5515936918053557,2.179378124634912,-38.63661460871993,0.9822046320782003,0.9753855885000854
Netherlands,110–150 kV,573,380,33.682373472949386,1.509615461854749,1.7525405961338958,16.0918552053437,3.155435839486086,1.996663065436918,-36.72306562372991,0.9717948789407377,0.9698370491712556
Netherlands,220 kV,30,15,50.0,1.5178097839293934,1.873581989152222,23.439841341764524,3.668609754512245,1.764449011822438,-51.904150893884655,0.8946250929020563,0.9000918980998546
Netherlands,400 kV,66,39,40.90909090909091,1.4828791991263086,1.8711304886482962,26.1822601430204,3.4957150866776656,1.825659031381316,-47.77437559659859,0.8645455707377772,0.900409127831875
Portugal,All,314,219,30.254777070063696,1.3067114444532733,1.5123130368017008,15.734276547524313,3.7645893598538893,2.463859259068011,-34.55171272216427,0.9941981910487571,0.9948076891110041
Portugal,150 kV,100,70,30.0,1.3674769317371056,1.626313941781019,18.92807140191483,3.0748899375586842,2.002725633615233,-34.86837986775873,0.9974021849946151,0.9906878523700741
Portugal,220 kV,135,93,31.11111111111111,1.4204013857112556,1.6741845437467566,17.867002988625003,3.486418771914945,2.228167108644276,-36.09008973352802,0.9841990792834309,0.9683519321447562
Portugal,400 kV,79,69,12.658227848101266,1.5237283248893232,1.5959760484616992,4.74150951926576,2.7642955691647524,2.3868466480709225,-13.65443425457858,0.960242629921379,0.9701889191768156
Slovakia,All,457,368,19.474835886214443,1.501668028932032,1.6526062961484165,10.051373826193117,2.717412620593576,2.149260680561487,-20.907827384270593,0.9661457495905778,0.969691710606737
