country,graph_type,voltage_group,n_nodes,n_branches_original,n_branches,branches_removed,fraction_removed,mean_degree,C,gamma,r2
Estonia,simple,110 kV,151,215,185,30,0.13953488372093023,2.4503311258278146,1.8459496290312216,1.87930171636215,0.9292318244423721
Estonia,simple,330 kV,12,16,16,0,0.0,2.6666666666666665,1.6455413373478063,2.5474699761558615,0.7889460943868157
Hungary,complete,All,387,640,640,0,0.0,3.3074935400516794,1.6079946791923543,2.478294434830761,0.9546412213363442
Hungary,complete,120 kV,381,579,579,0,0.0,3.0393700787401574,1.67325376632284,2.3133006181901172,0.9446844547908534
Hungary,complete,220 kV,17,25,25,0,0.0,2.9411764705882355,1.478754682955731,2.444210236362365,0.9850374302505326
Hungary,complete,400 kV,25,36,36,0,0.0,2.88,1.6262735194078057,2.434334209254754,0.9422211086681237
Hungary,simple,All,387,640,515,125,0.1953125,2.661498708010336,1.7341987456950632,1.9888813219930461,0.9786037721750098
Hungary,simple,120 kV,381,579,467,112,0.19343696027633853,2.4514435695538057,1.7997157986471448,1.8638075389776596,0.9713486551344679
Hungary,simple,220 kV,17,25,17,8,0.32,2.0,1.8656085026722555,1.5283573450942638,0.9714915830641345
Hungary,simple,400 kV,25,36,33,3,0.08333333333333333,2.64,1.7039744527809886,2.1548619350509837,0.9454862551305386
Ireland,complete,All,306,467,467,0,0.0,3.052287581699346,1.5682397160002797,2.4354740923423672,0.9924373122898579
Ireland,complete,110 kV,288,385,385,0,0.0,2.673611111111111,1.6708584596256635,2.1378300124125036,0.9874412153575401
Ireland,complete,220 kV,45,65,65,0,0.0,2.888888888888889,1.7171825009306858,2.2703050328254397,0.9343082189054961
Ireland,complete,275 kV,13,13,13,0,0.0,2.0,1.850394763410746,1.8153242312096305,0.7583801251942588
Ireland,complete,400 kV,5,4,4,0,0.0,1.6,1.6666666666660677,1.9576151889744804,1.0
Ireland,simple,All,306,467,422,45,0.09635974304068523,2.758169934640523,1.6581397854292481,2.1762584979175457,0.9880490361346539
Ireland,simple,110 kV,288,385,351,34,0.08831168831168831,2.4375,1.7706551362197618,1.9173232800594928,0.9805287274476899
Ireland,simple,220 kV,45,65,59,6,0.09230769230769231,2.6222222222222222,1.7869103832583324,2.09092024596644,0.9022065199547298
Ireland,simple,275 kV,13,13,13,0,0.0,2.0,1.850394763410746,1.8153242312096305,0.7583801251942588
Ireland,simple,400 kV,5,4,4,0,0.0,1.6,1.6666666666660677,1.9576151889744804,1.0
Latvia,complete,All,147,220,220,0,0.0,2.993197278911565,1.697346951431753,2.2443466321503154,0.9400093943667549
Latvia,complete,110 kV,145,199,199,0,0.0,2.7448275862068967,1.764054785704644,2.1010080256699983,0.9255282069539947
Latvia,complete,330 kV,17,21,21,0,0.0,2.4705882352941178,1.8370945139543955,1.9766151475634008,0.861079284821208
Latvia,simple,All,147,220,194,26,0.11818181818181818,2.639455782312925,1.812468816131015,1.9568031721979111,0.9296612485283786
Latvia,simple,110 kV,145,199,178,21,0.10552763819095477,2.4551724137931035,1.874929377762731,1.852127205155429,0.9074728286479854
Latvia,simple,330 kV,17,21,20,1,0.047619047619047616,2.3529411764705883,1.873746643641927,1.8609890833779381,0.8772998201002142
Lithuania,complete,All,265,329,329,0,0.0,2.483018867924528,1.863145850270529,1.8614176820468618,0.939967496727186
Lithuania,complete,110 kV,260,306,306,0,0.0,2.353846153846154,1.91711559742009,1.7753803760440567,0.9241497951219978
Lithuania,complete,330 kV,20,23,23,0,0.0,2.3,1.9171087506720659,1.7860117890762859,0.8655839339107816
Lithuania,simple,All,265,329,326,3,0.00911854103343465,2.460377358490566,1.8725696175969626,1.8469006346897991,0.9361096300167072
Lithuania,simple,110 kV,260,306,304,2,0.006535947712418301,2.3384615384615386,1.9209468255459583,1.7691719513215383,0.9160606016331007
Lithuania,simple,330 kV,20,23,22,1,0.043478260869565216,2.2,1.9609170063414076,1.6902676145125315,0.8821402703743845
Netherlands,complete,All,311,669,669,0,0.0,4.302250803858521,1.4401444426714671,3.5515936918053557,0.9822046320782003
Netherlands,complete,110–150 kV,299,573,573,0,0.0,3.8327759197324416,1.509615461854749,3.155435839486086,0.9717948789407377
Netherlands,complete,220 kV,14,30,30,0,0.0,4.285714285714286,1.5178097839293934,3.668609754512245,0.8946250929020563
Netherlands,complete,400 kV,34,66,66,0,0.0,3.8823529411764706,1.4828791991263086,3.4957150866776656,0.8645455707377772
Netherlands,simple,All,311,669,433,236,0.35276532137518685,2.784565916398714,1.6872708888947605,2.179378124634912,0.9753855885000854
Netherlands,simple,110–150 kV,299,573,380,193,0.3368237347294939,2.5418060200668897,1.7525405961338958,1.996663065436918,0.9698370491712556
Netherlands,simple,220 kV,14,30,15,15,0.5,2.142857142857143,1.873581989152222,1.764449011822438,0.9000918980998546
Netherlands,simple,400 kV,34,66,39,27,0.4090909090909091,2.2941176470588234,1.8711304886482962,1.825659031381316,0.900409127831875
Portugal,complete,All,145,314,314,0,0.0,4.3310344827586205,1.3067114444532733,3.7645893598538893,0.9941981910487571
Portugal,complete,150 kV,57,100,100,0,0.0,3.508771929824561,1.3674769317371056,3.0748899375586842,0.9974021849946151
Portugal,complete,220 kV,67,135,135,0,0.0,4.029850746268656,1.4204013857112556,3.486418771914945,0.9841990792834309
