graph_type,voltage_class,european_n,mean_A,mean_gamma,degree_k,ccdf_P_K_ge_k,probability_P_K_eq_k,percentage_P_K_eq_k,remaining_probability_above_max_k
complete,300-349 kV,3,0.9461704477316819,1.040646116219836,15,3.553521229149116e-06,2.194183597235066e-06,0.00021941835972350658,
complete,300-349 kV,3,0.9461704477316819,1.040646116219836,16,1.35933763191405e-06,8.3934670506087e-07,8.3934670506087e-05,5.199909268531801e-07
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,1,1.0,0.19956202930877032,19.956202930877033,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,2,0.8004379706912297,0.30986197368677254,30.986197368677253,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,3,0.49057599700445714,0.18990958980105122,18.99095898010512,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,4,0.3006664072034059,0.11639263724196411,11.639263724196411,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,5,0.18427376996144182,0.07133523914369734,7.133523914369734,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,6,0.11293853081774448,0.04372025984005974,4.372025984005974,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,7,0.06921827097768474,0.026795468038340826,2.6795468038340826,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,8,0.04242280293934391,0.016422526078764575,1.6422526078764574,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,9,0.026000276860579336,0.01006511110094432,1.006511110094432,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,10,0.015935165759635016,0.006168750226881859,0.616875022688186,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,11,0.009766415532753156,0.0037807311792201646,0.3780731179220165,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,12,0.005985684353532992,0.0023171514040620554,0.23171514040620556,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,13,0.0036685329494709363,0.0014201460973626403,0.14201460973626404,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,14,0.002248386852108296,0.0008703854803440042,0.08703854803440042,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,15,0.0013780013717642919,0.0005334457389986508,0.05334457389986508,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,16,0.0008445556327656411,0.00032694060606726523,0.03269406060672652,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,17,0.0005176150266983758,0.00020037681826136258,0.020037681826136258,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,18,0.00031723820843701327,0.00012280783895129337,0.012280783895129337,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,19,0.0001944303694857199,7.526701660775376e-05,0.007526701660775376,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,20,0.00011916335287796614,4.612998516551329e-05,0.004612998516551329,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,21,7.303336771245286e-05,2.8272351253938875e-05,0.0028272351253938875,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,22,4.476101645851398e-05,1.732768485743351e-05,0.001732768485743351,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,23,2.7433331601080473e-05,1.0619868854264551e-05,0.001061986885426455,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,24,1.6813462746815922e-05,6.508752635433268e-06,0.0006508752635433268,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,25,1.0304710111382654e-05,3.9891133733019695e-06,0.00039891133733019693,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,26,6.315596738080685e-06,2.4448656134859044e-06,0.00024448656134859047,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,27,3.8707311245947805e-06,1.4984201522099267e-06,0.00014984201522099267,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,28,2.3723109723848538e-06,9.183584325305829e-07,9.183584325305829e-05,
complete,>=350 kV,9,0.8004379706912297,2.0425719529853583,29,1.453952539854271e-06,5.628476161083193e-07,5.628476161083193e-05,8.911049237459516e-07
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,1,1.0,0.21638975314665143,21.638975314665142,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,2,0.7836102468533486,0.4167100048442228,41.67100048442228,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,3,0.36690024200912574,0.1951110290337776,19.51110290337776,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,4,0.17178921297534813,0.09135445083650087,9.135445083650087,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,5,0.08043476213884726,0.04277377721273697,4.277377721273697,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,6,0.03766098492611029,0.020027442563464424,2.0027442563464426,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,7,0.017633542362645863,0.009377204487646456,0.9377204487646457,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,8,0.008256337874999407,0.004390573770190152,0.4390573770190152,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,9,0.003865764104809255,0.0020557446578964482,0.20557446578964483,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,10,0.0018100194469128068,0.0009625361785657333,0.09625361785657333,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,11,0.0008474832683470735,0.0004506765426772157,0.04506765426772157,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,12,0.0003968067256698578,0.00021101476561861783,0.021101476561861784,
simple,<200 kV,15,0.7836102468533486,1.3178325100201402,13,0.00018579196005123996,9.880086290839326e-05,0.009880086290839326,
