system,graph_type,voltage,voltage_label,voltage_class,A,gamma,degree,fitted_ccdf,probability_mass,cumulative_probability_mass,remaining_tail_probability
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,10,0.0005308163437215274,0.00031981889538993085,0.9997890025516685,8.322900551040921e-07
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,11,0.00021099744833159652,0.00012712677681022306,0.9999161293284787,8.322900551040921e-07
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,12,8.387067152137348e-05,5.0532403229184116e-05,0.9999666617317079,8.322900551040921e-07
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,13,3.3338268292189366e-05,2.008643529072397e-05,0.9999867481669986,8.322900551040921e-07
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,14,1.3251833001465395e-05,7.984280519146752e-06,0.9999947324475178,8.322900551040921e-07
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,15,5.267552482318643e-06,3.1737206968657925e-06,0.9999979061682147,8.322900551040921e-07
Estonia,simple,110.0,<200 kV,<200 kV,0.8516888273275874,1.0839285290667457,16,2.0938317854528507e-06,1.2615417303487587e-06,0.999999167709945,8.322900551040921e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,1,1.0,8.659739592076221e-14,8.659739592076221e-14,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,2,0.9999999999999134,0.5406920467876253,0.5406920467877119,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,3,0.4593079532122881,0.2483441573282084,0.7890362041159202,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,4,0.21096379588407974,0.11406644659465974,0.9031026507105799,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,5,0.09689734928942,0.05239162611559648,0.9554942768261764,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,6,0.044505723173823515,0.024063890556620168,0.9795581673827966,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,7,0.020441832617203348,0.011052736317886672,0.9906109037006833,8.276969984440769e-07
Estonia,simple,330.0,330 kV,300-349 kV,0.9999999999999134,1.2852902598788822,8,0.009389096299316675,0.005076609695564091,0.9956875133962474,8.276969984440769e-07
